2007,166105717000,,,,,,,,,,,,,,,,,
2008,168375568000,,,,,,,,,,,,,,,,,
2009,158641034000,,,,,,,,,,,,,,,,,
2010,191098825000,,,,,,,,,,,,,,,,,
2011,211359330000,,,,,,,,,,,,,,,,,
2012,223867206000,,,,,,,,,,,,,,,,,
2013,210553592000,,,,,,,,,,,,,,,,,
2014,195281436000,,,,,,,,,,,,,,,,,
2015,179295311000,,,,,,,,,,,,,,,,,
2016,185945409000,,,,,,,,,,,,,,,,,
2017,187871601000,,,,,,,,,,,,,,,,,
2018,185332964000,,,,,,,,,,,,,,,,,
2019,174049845000,,,,,,,,,,,,,,,,,
2020,206442858000,,,,,,,,,,,,,,,,,
2021,257234506000,,,,,,,,,,,,,,,,,
2022,263014769000,,,,,,,,,,,,,,,,,
2023,233469802000,,,,,,,,,,,,,,,,,
Year,"CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $  -  <b>VALUE</b>",,,,,,,,,,,,,,,,,"CROP TOTALS, (EXCL HORTICULTURE) - PRODUCTION, MEASURED IN $  -  <b>CV (%)</b>"
